Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
601901,FOUNDER SECURITIES LTD A,Financials,Equity,"3,725,287.05",0.01,"3,725,287.05","3,770,587.00",0.99,China,Shanghai Stock Exchange,USD,6.71,CNY,-
2074,GOTION HIGH-TECH LTD A,Industrials,Equity,"3,717,743.42",0.01,"3,717,743.42","501,323.00",7.42,China,Shenzhen Stock Exchange,USD,6.71,CNY,-
601633,GREAT WALL MOTOR LTD A,Consumer Discretionary,Equity,"3,705,857.76",0.01,"3,705,857.76","665,000.00",5.57,China,Shanghai Stock Exchange,USD,6.71,CNY,-
600745,WINGTECH TECHNOLOGY LTD A,Information Technology,Equity,"3,701,477.49",0.01,"3,701,477.49","328,500.00",11.27,China,Shanghai Stock Exchange,USD,6.71,CNY,-
285130,SK CHEMICALS LTD,Materials,Equity,"3,696,946.34",0.01,"3,696,946.34","47,812.00",77.32,Korea (South),Korea Exchange (Stock Market),USD,"1,299.75",KRW,-
ADMR,ADARO MINERALS INDONESIA (PROPOSED,Materials,Equity,"3,691,412.38",0.01,"3,691,412.38","32,562,600.00",0.11,Indonesia,Indonesia Stock Exchange,USD,"14,996.00",IDR,-
600188,YANKUANG ENERGY GROUP LTD A,Energy,Equity,"3,690,060.14",0.01,"3,690,060.14","654,800.00",5.64,China,Shanghai Stock Exchange,USD,6.71,CNY,-
600547,SHANDONG GOLD-MINING LTD A,Materials,Equity,"3,689,815.49",0.01,"3,689,815.49","1,380,436.00",2.67,China,Shanghai Stock Exchange,USD,6.71,CNY,-
600029,CHINA SOUTHERN AIRLINES LTD A,Industrials,Equity,"3,679,127.67",0.01,"3,679,127.67","3,729,500.00",0.99,China,Shanghai Stock Exchange,USD,6.71,CNY,-
776,GF SECURITIES LTD A,Financials,Equity,"3,676,510.57",0.01,"3,676,510.57","1,409,294.00",2.61,China,Shenzhen Stock Exchange,USD,6.71,CNY,-
63,ZTE CORP A,Information Technology,Equity,"3,650,162.52",0.01,"3,650,162.52","990,600.00",3.68,China,Shenzhen Stock Exchange,USD,6.71,CNY,-
GGRM,GUDANG GARAM,Consumer Staples,Equity,"3,634,122.60",0.01,"3,634,122.60","1,715,100.00",2.12,Indonesia,Indonesia Stock Exchange,USD,"14,996.00",IDR,-
601006,DAQIN RAILWAY LTD A,Industrials,Equity,"3,623,247.81",0.01,"3,623,247.81","4,006,200.00",0.9,China,Shanghai Stock Exchange,USD,6.71,CNY,-
603392,BEIJING WANTAI BIOLOGICAL PHARMACY,Health Care,Equity,"3,622,051.93",0.01,"3,622,051.93","148,893.00",24.33,China,Shanghai Stock Exchange,USD,6.71,CNY,-
23530,LOTTE SHOPPING LTD,Consumer Discretionary,Equity,"3,608,142.72",0.01,"3,608,142.72","47,611.00",75.78,Korea (South),Korea Exchange (Stock Market),USD,"1,299.75",KRW,-
5940,NH INVESTMENT & SECURITIES LTD,Financials,Equity,"3,605,941.70",0.01,"3,605,941.70","516,739.00",6.98,Korea (South),Korea Exchange (Stock Market),USD,"1,299.75",KRW,-
661,CHANGCHUN HIGH & NEW TECHNOLOGY IN,Health Care,Equity,"3,599,261.59",0.01,"3,599,261.59","108,094.00",33.3,China,Shenzhen Stock Exchange,USD,6.71,CNY,-
1055,CHINA SOUTHERN AIRLINES LTD H,Industrials,Equity,"3,595,028.06",0.01,"3,595,028.06","6,326,000.00",0.57,China,Hong Kong Exchanges And Clearing Ltd,USD,7.85,HKD,-
600660,FUYAO GLASS INDUSTRY GROUP LTD A,Consumer Discretionary,Equity,"3,581,960.91",0.01,"3,581,960.91","557,772.00",6.42,China,Shanghai Stock Exchange,USD,6.71,CNY,-
601688,HUATAI SECURITIES LTD A,Financials,Equity,"3,577,377.67",0.01,"3,577,377.67","1,752,209.00",2.04,China,Shanghai Stock Exchange,USD,6.71,CNY,-
MTC.R,MUANGTHAI CAPITAL ORS NON-VOTING D,Financials,Equity,"3,572,691.24",0.01,"3,572,691.24","3,020,700.00",1.18,Thailand,Stock Exchange Of Thailand,USD,36.15,THB,-
BGRIM.R,B.GRIMM POWER PCL NON-VOTING DR,Utilities,Equity,"3,564,175.54",0.01,"3,564,175.54","3,505,500.00",1.02,Thailand,Stock Exchange Of Thailand,USD,36.15,THB,-
600600,TSINGTAO BREWERY LTD A,Consumer Staples,Equity,"3,552,355.49",0.01,"3,552,355.49","240,600.00",14.76,China,Shanghai Stock Exchange,USD,6.71,CNY,-
ISCTR.E,TURKIYE IS BANKASI C,Financials,Equity,"3,552,332.90",0.01,"3,552,332.90","13,549,360.00",0.26,Turkey,Istanbul Stock Exchange,USD,17.24,TRY,-
