iShares MSCI ACWI ETF
Fund Holdings as of,"Mar 10, 2022"
Inception Date,"Mar 26, 2008"
Shares Outstanding,"191,200,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"COP","CONOCOPHILLIPS","Energy","Equity","38,841,338.88","0.22","38,841,338.88","389,504.00","99.72","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TTE","TOTALENERGIES","Energy","Equity","37,053,240.87","0.21","37,053,240.87","735,847.00","50.35","France","Nyse Euronext - Euronext Paris","USD","0.91","EUR","-"
"AMGN","AMGEN INC","Health Care","Equity","36,877,559.40","0.20","36,877,559.40","162,492.00","226.95","United States","NASDAQ","USD","1.00","USD","-"
"HON","HONEYWELL INTERNATIONAL INC","Industrials","Equity","36,759,909.12","0.20","36,759,909.12","199,392.00","184.36","United States","NASDAQ","USD","1.00","USD","-"
"HSBA","HSBC HOLDINGS PLC","Financials","Equity","36,737,074.55","0.20","36,737,074.55","5,884,898.00","6.24","United Kingdom","London Stock Exchange","USD","0.76","GBP","Jan 01, 1998"
"ORCL","ORACLE CORP","Information Technology","Equity","36,499,350.30","0.20","36,499,350.30","476,182.00","76.65","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CBA","COMMONWEALTH BANK OF AUSTRALIA","Financials","Equity","36,264,560.94","0.20","36,264,560.94","494,043.00","73.40","Australia","Asx - All Markets","USD","1.36","AUD","-"
"6758","SONY GROUP CORP","Consumer Discretionary","Equity","36,174,000.78","0.20","36,174,000.78","354,900.00","101.93","Japan","Tokyo Stock Exchange","USD","115.97","JPY","-"
"INTU","INTUIT INC","Information Technology","Equity","35,877,464.70","0.20","35,877,464.70","79,310.00","452.37","United States","NASDAQ","USD","1.00","USD","-"
"SAN","SANOFI SA","Health Care","Equity","34,264,799.24","0.19","34,264,799.24","333,951.00","102.60","France","Nyse Euronext - Euronext Paris","USD","0.91","EUR","-"
"1299","AIA GROUP LTD","Financials","Equity","34,066,962.39","0.19","34,066,962.39","3,555,600.00","9.58","Hong Kong","Hong Kong Exchanges And Clearing Ltd","USD","7.82","HKD","-"
"MS","MORGAN STANLEY","Financials","Equity","33,916,932.36","0.19","33,916,932.36","395,026.00","85.86","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ANTM","ANTHEM INC","Health Care","Equity","33,634,582.80","0.19","33,634,582.80","71,079.00","473.20","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CAT","CATERPILLAR INC","Industrials","Equity","33,333,839.89","0.18","33,333,839.89","157,391.00","211.79","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ULVR","UNILEVER PLC","Consumer Staples","Equity","33,156,751.39","0.18","33,156,751.39","750,648.00","44.17","United Kingdom","London Stock Exchange","USD","0.76","GBP","-"
"AMAT","APPLIED MATERIAL INC","Information Technology","Equity","33,098,304.50","0.18","33,098,304.50","264,850.00","124.97","United States","NASDAQ","USD","1.00","USD","-"
"SAP","SAP","Information Technology","Equity","32,688,073.97","0.18","32,688,073.97","302,658.00","108.00","Germany","Xetra","USD","0.91","EUR","-"
"PLD","PROLOGIS REIT INC","Real Estate","Equity","32,506,221.72","0.18","32,506,221.72","215,159.00","151.08","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GS","GOLDMAN SACHS GROUP INC","Financials","Equity","32,463,809.50","0.18","32,463,809.50","98,405.00","329.90","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Information Technology","Equity","32,343,559.35","0.18","32,343,559.35","260,101.00","124.35","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SCHW","CHARLES SCHWAB CORP","Financials","Equity","32,269,878.90","0.18","32,269,878.90","405,146.00","79.65","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AXP","AMERICAN EXPRESS","Financials","Equity","31,843,248.00","0.18","31,843,248.00","187,755.00","169.60","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PYPL","PAYPAL HOLDINGS INC","Information Technology","Equity","31,595,918.40","0.18","31,595,918.40","320,608.00","98.55","United States","NASDAQ","USD","1.00","USD","-"
"BLK","BLACKROCK INC","Financials","Equity","31,298,005.20","0.17","31,298,005.20","44,891.00","697.20","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NOW","SERVICENOW INC","Information Technology","Equity","30,991,974.38","0.17","30,991,974.38","58,082.00","533.59","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DE","DEERE","Industrials","Equity","30,990,526.95","0.17","30,990,526.95","81,953.00","378.15","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LMT","LOCKHEED MARTIN CORP","Industrials","Equity","30,886,130.52","0.17","30,886,130.52","69,507.00","444.36","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMT","AMERICAN TOWER REIT CORP","Real Estate","Equity","30,844,370.40","0.17","30,844,370.40","132,493.00","232.80","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SIE","SIEMENS N AG","Industrials","Equity","30,139,910.80","0.17","30,139,910.80","222,245.00","135.62","Germany","Xetra","USD","0.91","EUR","-"
"SBUX","STARBUCKS CORP","Consumer Discretionary","Equity","30,011,192.68","0.17","30,011,192.68","344,323.00","87.16","United States","NASDAQ","USD","1.00","USD","-"
"TGT","TARGET CORP","Consumer Discretionary","Equity","29,636,418.30","0.16","29,636,418.30","137,985.00","214.78","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
